town,flat_type,block,street_name,floor_area_sqm,flat_model,resale_price,remaining_lease,storey_no,lease_commence_date
ANG MO KIO,3 ROOM,178,ANG MO KIO AVE 4,68,New Generation,315000,63.08333333,11,1988
ANG MO KIO,3 ROOM,507,ANG MO KIO AVE 8,67,New Generation,315000,62.25,7,1988
ANG MO KIO,3 ROOM,586,ANG MO KIO AVE 3,67,New Generation,317000,61.25,4,2003
ANG MO KIO,3 ROOM,445,ANG MO KIO AVE 10,67,New Generation,318000,61.41666667,12,1988
ANG MO KIO,3 ROOM,639,ANG MO KIO AVE 6,68,New Generation,318000,62.5,8,2003
ANG MO KIO,3 ROOM,435,ANG MO KIO AVE 10,67,New Generation,320000,60.83333333,12,1999
ANG MO KIO,3 ROOM,128,ANG MO KIO AVE 3,67,New Generation,320000,60.5,11,1998
ANG MO KIO,3 ROOM,157,ANG MO KIO AVE 4,82,New Generation,325000,62.58333333,6,1987
ANG MO KIO,3 ROOM,117,ANG MO KIO AVE 4,74,New Generation,328000,60.16666667,7,1987
ANG MO KIO,3 ROOM,119,ANG MO KIO AVE 3,67,New Generation,335000,60.66666667,12,1998
ANG MO KIO,3 ROOM,542,ANG MO KIO AVE 10,82,New Generation,338000,62.83333333,1,2001
ANG MO KIO,3 ROOM,649,ANG MO KIO AVE 5,75,New Generation,340000,62.66666667,7,2001
